Bug ID,Summary,Issue Type,Application,Module,Description,Platform,Version,Environment,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Labels,Screenshot,Reverification Note
36,[Low] Raise Support Ticket's Comment field ignores any programmatic value change -- only real keystrokes register,Bug,Trackofy,Miscellaneous Pages - Support,"The Comment textarea never registers a value set via a standard programmatic value+input-event write; only genuine keystroke-by-keystroke input updates the value, counter, and Angular form state.",Web,V6.2,Staging,"1. Open Profile > Support > Raise Ticket. 2. Attempt to set the Comment field's value via paste, autofill, or another non-keystroke method. 3. Observe the field's value and the character counter.","The field should register a value change regardless of the input method (typing, paste, autofill, voice-to-text, etc.).",Only real per-character keystrokes register; programmatic/paste-style value changes leave the field looking empty/untouched with the counter still at 0/200.,Minor,Low,"misc,support,raise-ticket,input-handling,usability",Bug_Report_Screenshots/bug_35_36_support.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 under the literal repro steps, with a nuance worth carrying into the Jira ticket: this looks like a load/binding timing race on dialog-open rather than an absolute rejection of all programmatic writes -- adding a short settle delay before fill() made it succeed consistently in a follow-up check. press_sequentially remains the only consistently reliable input path either way."
37,[CRITICAL] Change Password: 'Verify' always rejects the correct current password -- the feature is completely unusable,Bug,Trackofy,Miscellaneous Pages - Change Password,"Stage 1's 'Verify' step always rejects the account's real, correct, currently-working password with 'Unable to verify password. Please try again.', confirmed on two independent accounts including one whose password was set moments earlier by the same session.",Web,V6.2,Staging,"1. Open Profile > Change Password. 2. Enter the account's real, current, correct password in Stage 1. 3. Click Verify.",Verify should succeed for the correct current password and unlock Stage 2 (New Password / Confirm New Password).,"Verify always fails with 'Unable to verify password. Please try again.', regardless of account, confirmed with an exact input_value() match immediately before submitting.",Critical,Highest,"misc,change-password,security,functional,blocker",Bug_Report_Screenshots/bug_37_change_password.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
38,"[High] Help Center's main search always returns '0 found' -- breaks the primary search box and every Quick Link, Popular Section, and Common Issue shortcut",Bug,Trackofy,Miscellaneous Pages - Help Center,"The main Help Center search never returns a real result even for a guaranteed-matching term, and every Quick Link/Popular Section/Common Issue shortcut is wired to the same broken search, landing on the same '0 found' dead end.",Web,V6.2,Staging,"1. Open Help Center. 2. Search for a term guaranteed to match a real article/category (e.g. 'device'). 3. Also try any Quick Link, Popular Section, or Common Issue shortcut.",The search (and every shortcut built on it) should return the matching article/category.,"The main search always returns '0 found / No results found'; every shortcut relying on it lands on the same dead end. The sidebar's own separate mini-filter works correctly, isolating the bug to the main search integration.",Major,High,"misc,help-center,search,functional",Bug_Report_Screenshots/bug_38_39_help_center.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 on the core main-search claim; secondary Quick Link/Popular Section/Common Issue checks came back 2/3 clean (1 attempt hit an unrelated infra navigation timeout, not a bug inconsistency)."
39,[Low] Help Center's category/article navigation doesn't push browser history -- Back leaves the page entirely,Bug,Trackofy,Miscellaneous Pages - Help Center,"Opening a category is a pure in-page state change with no URL/history change; clicking Back doesn't step back within Help Center, it leaves Help Center entirely for whatever page was open before.",Web,V6.2,Staging,1. Open Help Center. 2. Open a category (e.g. Device) from the sidebar. 3. Click the browser's Back button.,Back should return to the Help Center landing view.,"Back leaves Help Center entirely, landing on the page open before Help Center was navigated to (e.g. /home).",Minor,Low,"misc,help-center,navigation,browser-history,ux",Bug_Report_Screenshots/bug_38_39_help_center.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
40,"[High] Multi-select filters start with every option pre-selected, so clicking one to isolate it actually deselects it instead",Bug,Trackofy,Video Telematics - Alert Configuration / Report,"Alert Configuration's Vehicle filter and Report's Vehicle and Alert Type filters all default to every option already selected; clicking one option to isolate it toggles that option OFF, leaving every other option still selected -- the opposite of the intended filter.",Web,V6.2,Staging,"1. Open Video Telematics > Alert Configuration (or Report). 2. Open the Vehicle (or Alert Type) multi-select filter, showing 'All' by default. 3. Click a single option to try to isolate it. 4. Observe the resulting filtered list.",Clicking a single option should filter the view to only that option.,"The clicked option is deselected while every other option remains selected, showing every record EXCEPT the one just clicked -- confirmed on Alert Configuration's Vehicle filter and Report's Vehicle and Alert Type filters.",Major,High,"video-telematics,alert-configuration,report,filter,functional",Bug_Report_Screenshots/bug_40_alert_config.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 across all 3 tested locations (Alert Configuration's Vehicle filter, Report page's Vehicle filter, Report page's Alert Type filter)."
41,[Medium] Update Video Alert dialog: 5 of 7 fields are pre-filled correctly but cannot actually be changed,Bug,Trackofy,Video Telematics - Alert Configuration,"In the Update Video Alert dialog, Vehicle, Alert Type, Priority, Delivery Channels, and Delivery Mode are all disabled/read-only despite looking like normal editable controls; only Cooldown and Status are genuinely editable.",Web,V6.2,Staging,"1. Open Video Telematics > Alert Configuration. 2. Click Edit on an existing alert. 3. Attempt to change Vehicle, Alert Type, Priority, Delivery Channels, or Delivery Mode.","All fields shown in the Edit dialog should be editable, consistent with the documented Edit Alert capability.","Vehicle, Alert Type, Priority, Delivery Channels, and Delivery Mode are all disabled and cannot be changed; only Cooldown Minutes and Status remain interactive.",Major,Medium,"video-telematics,alert-configuration,edit,functional",Bug_Report_Screenshots/bug_41_alert_config2.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
42,"[Medium] Report page's Notification filter has no 'Skipped' option, even though SKIPPED is a common real value in the table",Bug,Trackofy,Video Telematics - Report,"The Notification filter offers All/Sent/Pending/Failed but no Skipped, while the report table's own Notification column routinely shows SKIPPED as the most common real value.",Web,V6.2,Staging,1. Open Video Telematics > Report. 2. Open the Notification filter dropdown. 3. Compare its options against the values actually shown in the table's Notification column.,"The filter's options should cover the real values present in the data, including Skipped.","No 'Skipped' filter option exists, despite most real rows in a default report showing SKIPPED as their Notification value.",Minor,Medium,"video-telematics,report,filter,data-consistency",Bug_Report_Screenshots/bug_42_43_44_report.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
43,"[High] Export to Excel/CSV/PDF, Print, and Copy on the Report page are all unimplemented stubs",Bug,Trackofy,Video Telematics - Report,"All 5 export-area buttons on the Report page only console.log the label and current row data; none downloads a file, opens a print dialog, writes to clipboard, or shows any user-facing feedback.",Web,V6.2,Staging,"1. Open Video Telematics > Report and generate a report. 2. Click each of Export to Excel, Export to CSV, Export to PDF, Print, and Copy in turn. 3. Observe any resulting download/dialog/clipboard/feedback.","Each action should perform its labeled function (download a file, open print dialog, or copy to clipboard) with user feedback.","None of the 5 actions does anything beyond a console.log of the label and row data -- no download, no print dialog, no clipboard write, and no visible feedback for any of them.",Major,High,"video-telematics,report,export,print,functional",Bug_Report_Screenshots/bug_42_43_44_report.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 for all 5 export/print/copy actions.
44,[High] Report page's Alert Type filter is sent to the backend correctly but has no effect on the returned results,Bug,Trackofy,Video Telematics - Report,"Selecting a single alert type and generating sends a correctly-formed request including the alarm_code filter, but the returned 50-row page is unfiltered -- the backend appears to silently ignore the alarm_code parameter.",Web,V6.2,Staging,1. Open Video Telematics > Report. 2. Select a single Alert Type (e.g. 'Speeding'). 3. Click Generate Report. 4. Inspect the returned rows.,The returned rows should be filtered to only the selected alert type.,"The request correctly includes the alarm_code filter, but the returned rows are unfiltered (a full, unfiltered page including unrelated alert types).",Major,High,"video-telematics,report,filter,backend,functional",Bug_Report_Screenshots/bug_42_43_44_report.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
45,[CRITICAL] Evidence snapshot and video files are fully downloadable with zero authentication,Bug,Trackofy,Video Telematics - Report / Evidence,"Evidence snapshot/video URLs served from a separate host carry only file-location metadata (no session/token/auth of any kind) in their query parameters; both a captured snapshot URL and video URL were successfully fetched in full from a completely fresh, unauthenticated browser context.",Web,V6.2,Staging,"1. Open Video Telematics > Report and open an evidence-bearing row's snapshot or video. 2. Capture the real evidence URL. 3. Open that exact URL in a fresh, cookie-less, never-authenticated browser context.",Evidence files should require a valid session/token before being served; an unauthenticated request should be denied.,"Both the snapshot and video URLs return 200 OK with the full, correct file (matching content-type and byte size) to a party that never logged in.",Critical,Highest,"video-telematics,evidence,security,information-disclosure,authentication",Bug_Report_Screenshots/bug_45_dashboard.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 for both snapshot and video URLs, byte-exact content match against a completely fresh, cookie-less request context each time."
46,[Low] Video Telematics' custom-styled combobox controls show no visible focus indicator,Bug,Trackofy,Video Telematics - Dashboard / Playback / Report,"Keyboard-focusing the styled vehicle/channel selectors (shared across Dashboard, Playback, and Report) leaves outline:none and box-shadow:none with no other focus-indicating class on any ancestor.",Web,V6.2,Staging,1. Open Video Telematics > Dashboard (or Playback/Report). 2. Tab to the vehicle/channel selector using the keyboard only. 3. Observe whether any visible focus indicator appears.,A visible focus indicator (outline or box-shadow) should appear on keyboard focus (WCAG 2.4.7).,No visible change occurs at all when the control receives keyboard focus.,Minor,Low,"video-telematics,accessibility,focus-indicator,wcag",Bug_Report_Screenshots/bug_46_47_playback.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3, plus a supplementary real-keyboard-Tab check that also confirmed no visible focus indicator."
47,"[Medium] At mobile viewport widths, the navigation drawer auto-opens over page content and its own Close button renders outside the viewport",Bug,Trackofy,Video Telematics,"At a 390x844 viewport, every Video Telematics sub-page's own left-nav drawer opens automatically over the real page content (which becomes width:0/invisible), and the drawer's Close control is itself unreachable/outside the viewport.",Web,V6.2,Staging,1. Set the browser viewport to 390x844. 2. Open any Video Telematics sub-page (Dashboard/Playback/etc). 3. Observe the navigation drawer and attempt to close it via its Close control.,"The module's real content should be usable at mobile widths, with any drawer dismissible via a reachable Close control.","The drawer auto-opens and hides the real page content; its own Close button is reported outside the viewport and un-clickable, trapping the user.",Major,Medium,"video-telematics,responsive,mobile,navigation,ux",Bug_Report_Screenshots/bug_46_47_playback.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
48,[Minor] Login heading has a typo -- 'Sign in to you account',Bug,Trackofy,Login Page,"The login page's main heading reads 'Sign in to you account', missing the 'r' in 'your'.",Web,V6.2,Staging,1. Open the login page (https://staging.trackofy.com/). 2. Read the main heading.,The heading should read 'Sign in to your account'.,The heading reads 'Sign in to you account'.,Minor,Low,"login,typo,copy,ui",Bug_Report_Screenshots/bug_48_49_login_page.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
49,[Medium] Password visibility toggle is unreachable via Tab (tabindex=-1),Bug,Trackofy,Login Page,"The password-visibility eye icon works correctly on click but carries tabindex=-1, removing it from the natural keyboard Tab order between Password and the next field.",Web,V6.2,Staging,1. Open the login page. 2. Click into the Username field. 3. Press Tab repeatedly and observe whether keyboard focus ever reaches the password-visibility toggle.,"The password-visibility toggle should be reachable via Tab, per the design doc's accessibility checklist.","The toggle is skipped entirely during Tab navigation due to tabindex=-1, though it works correctly via mouse click.",Major,Medium,"login,accessibility,keyboard,wcag",Bug_Report_Screenshots/bug_48_49_login_page.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
50,"[High] Every failed login shows a raw technical error instead of a safe, user-friendly message",Bug,Trackofy,Login Page,"Every failed-login scenario (nonexistent username, wrong password) shows the literal, unmodified HTTP client error naming the real backend host and endpoint, instead of a safe generic message.",Web,V6.2,Staging,1. Open the login page. 2. Attempt to log in with an invalid username or a valid username with the wrong password. 3. Observe the error message shown.,"A safe, generic message such as 'Invalid username or password' should be shown.","The raw error 'Http failure response for https://beta2.trackofy.com/trackofy_api_new/token.php: 401 Unauthorized' is shown verbatim, naming the real backend host/endpoint.",Major,High,"login,error-handling,information-disclosure,security",Bug_Report_Screenshots/bug_50_raw_error.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
51,"[Low] Auth token is stored in localStorage, not an HttpOnly cookie",Bug,Trackofy,Login Page,"The session/JWT token and related auth values live in localStorage rather than an HttpOnly/Secure/SameSite cookie, meaning any script running on the page (e.g. a future XSS) could read and exfiltrate it directly.",Web,V6.2,Staging,1. Log in successfully. 2. Inspect browser storage (Application/Storage tab) for cookies and localStorage.,"The session token should be stored in an HttpOnly, Secure, SameSite cookie inaccessible to page JavaScript.","The token is stored in localStorage['token'] (plus adas_token, device_id, role, username, etc.); no auth-relevant cookie exists at all.",Minor,Low,"login,security,localstorage,token,defense-in-depth",Bug_Report_Screenshots/bug_51_67_login_page.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
52,[Minor] Inconsistent nav-item labeling -- 'UnassignDevice' has no space,Bug,Trackofy,Admin Panel,"Every Device-submenu nav link uses a spaced, title-cased label except one, whose real accessible link text is literally 'UnassignDevice' with no space.",Web,V6.2,Staging,1. Log in to the Admin Panel. 2. Open the Device nav submenu. 3. Compare each item's label text.,"All nav labels should follow the same spaced, title-cased convention.","'UnassignDevice' has no space, inconsistent with every sibling label ('Add Device', 'Manage Device', etc.).",Minor,Low,"admin-panel,navigation,ui,consistency",Bug_Report_Screenshots/bug_52_nav_unassign_device.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
53,[Minor] Create Plan form: 'Currency*' label's for attribute points to the same id as 'BillType*',Bug,Trackofy,Admin Panel,"Both the BillType* and Currency* labels on Create Plan share for='billType', so Currency has no independently-reachable, correctly-associated label.",Web,V6.2,Staging,1. Open Admin Panel > Plan > Create Plan. 2. Inspect the DOM for the BillType and Currency field labels.,Each field should have its own uniquely-associated label.,Both labels share for='billType'; a screen reader announces 'BillType' when focusing the Currency control.,Minor,Low,"admin-panel,plan,accessibility,forms",Bug_Report_Screenshots/bug_53_create_plan.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3.
54,[Minor] Manage User/Manage Dealer row-action icons and Tax List's Edit/Delete icons have no accessible name,Bug,Trackofy,Admin Panel,Row-level Update/Delete/View-Subusers icons on Manage User/Dealer use only a ptooltip attribute (no aria-label/role); Tax List's icons have neither ptooltip nor any ARIA attribute at all.,Web,V6.2,Staging,1. Open Admin Panel > User > Manage User (or Tax). 2. Inspect a row's action icons for aria-label or role attributes.,Icon-only action controls should have a real accessible name (aria-label or equivalent).,None of these icons have an aria-label or role='button'; they are unreachable via accessible-name-based queries and give a screen-reader user no indication of their function.,Minor,Low,"admin-panel,accessibility,icons,forms",Bug_Report_Screenshots/bug_54_manage_user.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 on Manage Dealer and Tax; Manage User came back 2/3 clean (1 attempt hit a table-not-yet-loaded timing miss, not a contradicting result)."
55,Intermittent 500 from get-tax-master under rapid successive admin-panel API calls,Bug,Trackofy,Admin Panel - Tax,"A full serial run of the Tax test suite (multiple real create/delete cycles in quick succession) produced one real 500 from get-tax-master; isolated re-runs pass cleanly, indicating backend contention under rapid load.",Web,V6.2,Staging,1. Run several real Tax create/delete cycles against /admin/tax in quick succession. 2. Monitor API responses for get-tax-master.,get-tax-master should reliably return 200 even under rapid successive admin-panel activity.,One real HTTP 500 {'message':'Server Error'} was observed during a rapid full-suite run; the same test passes cleanly in isolation.,Minor,Low,"admin-panel,tax,backend,concurrency,intermittent",Bug_Report_Screenshots/bug_55_56_manage_user2.png,"Reverified 2026-09-07 (live 3x pass): NOT REPRODUCED this pass (0/9 rapid create/delete cycles across 3 runs) -- consistent with the bug's own documented intermittent nature; kept as documented, not withdrawn, pending a repro under genuine concurrent load."
56,[High] Manage User's search box does not filter at all,Bug,Trackofy,Admin Panel - User,"Entering any query in Manage User's search box and pressing Enter always re-renders the same full, unfiltered 15,900+-row list, regardless of the query.",Web,V6.2,Staging,"1. Open Admin Panel > User > Manage User. 2. Enter any known-present value (name, email) into the search box. 3. Press Enter. 4. Observe the result count/list.",The list should filter down to rows matching the search query.,"The full, unfiltered list is shown regardless of the query -- confirmed with multiple different real, known-present values.",Major,High,"admin-panel,user,search,functional",Bug_Report_Screenshots/bug_55_56_manage_user2.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3, with a working Tax-search control (correctly narrowed 8->1 row) confirming the search mechanism itself functions and Manage User's is specifically the broken one."
57,[Medium] Create User: colliding Mobile number is only rejected server-side after the entire 3-step wizard is submitted,Bug,Trackofy,Admin Panel - User,"Filling Mobile with an already-registered number passes client-side validation on every step and only fails after the final Submit, losing all entered data across all 3 steps with no field-specific indication.",Web,V6.2,Staging,"1. Open Admin Panel > User > Create User. 2. Fill all 3 steps, using a Mobile number that already belongs to an existing account. 3. Click Submit on the final step.","The Mobile field should be validated for uniqueness as soon as it's entered (Personal Information step), or entered data should be preserved on a late rejection.","The wizard accepts the colliding number through every step and only rejects it with 'Mobile number already exists' after final Submit, discarding all entered data.",Minor,Medium,"admin-panel,user,validation,usability",Bug_Report_Screenshots/bug_57_58_create_user_dealer.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 2/3 clean (1 attempt inconclusive due to unrelated wizard-flakiness already documented elsewhere in this module, not a contradicting outcome) -- the colliding mobile number was accepted through all 3 wizard steps and rejected only at final submit, losing all entered data."
58,"[High] Create Dealer: a non-numeric PIN-Code value triggers a raw SQL Server error leaking the database host, port, and database name",Bug,Trackofy,Admin Panel - Dealer,"Submitting Create Dealer's Billing step with an alphanumeric value in a PIN-Code-shaped field returns HTTP 200 with a body containing a raw SQL Server conversion error, including the internal DB host, port, and database name.",Web,V6.2,Staging,"1. Open Admin Panel > User > Create Dealer. 2. Fill the Billing step, entering an alphanumeric value into a PIN-Code field. 3. Submit.","A clean validation error should be returned, with no internal connection details exposed, and client-side numeric validation should prevent this input in the first place.",HTTP 200 with body containing SQLSTATE[22018] and the literal DB Host/Port/Database values in the error text.,Major,High,"admin-panel,dealer,sql-error,information-disclosure,api",Bug_Report_Screenshots/bug_57_58_create_user_dealer.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 -- identical raw SQLSTATE error leaking the DB host/port/database name and the full INSERT statement every time.
59,Manage Dealer has no Delete action -- dealers created via this panel are permanent,Bug,Trackofy,Admin Panel - Dealer,"Every dealer row (new dummy and pre-existing real ones alike) has only an Update and a disabled White-Labeling icon -- no delete action of any kind, unlike Manage User's request-based delete.",Web,V6.2,Staging,1. Open Admin Panel > User > Manage Dealer. 2. Inspect any row's action-icon column for a delete option.,"A delete (or equivalent request-based removal) action should exist, consistent with Manage User's own delete flow.",No delete icon or action exists anywhere on Manage Dealer rows; a dealer created here is permanent (aside from status-toggle disabling).,Minor,Medium,"admin-panel,dealer,functional,gap",Bug_Report_Screenshots/bug_59_manage_dealer.png,Reverified 2026-09-07 (live 3x pass): Re-confirmed live alongside this pass's Bug 58/63 dealer-creation attempts -- every dealer row inspected still has no delete action.
60,Device assignment is eventually-consistent -- a device can be missing from its owner's device list well after 'assigned successfully',Bug,Trackofy,Admin Panel - Device,"After Add Device returns success and the owner's row-level device count correctly increments, the same owner's View Devices dialog can still omit the newly assigned device for an extended period (15-20+ seconds observed).",Web,V6.2,Staging,1. Open Admin Panel > Device > Add Device. 2. Assign a real device to a real end user. 3. Immediately open that owner's View Devices dialog in Manage Device.,The newly assigned device should appear in the owner's device list promptly after a successful assignment.,The device-list dialog can omit the device for an extended period even though the row's own device count already reflects the new total.,Minor,Medium,"admin-panel,device,eventual-consistency,backend",Bug_Report_Screenshots/bug_60_manage_device.png,Reverified 2026-09-07 (live 3x pass): COULD NOT VERIFY this pass -- no never-assigned device IMEI was found on the first page of Unassign Device's inventory to drive a real Add Device flow through. The original finding (reproduced across 3 runs in a prior session) stands undisturbed; simply not independently re-run here.
61,[WITHDRAWN] Create Plan Submit-enablement claim did not reproduce; replaced by a real finding: Manage Plan has no Edit/Delete action,Bug,Trackofy,Admin Panel - Plan,"Original claim (Submit requires every Payment Type row and every Menu List item checked) was reverified live and does NOT reproduce -- Submit reliably enables with just one row and one item checked. Root cause of the original false positive: Submit opens a SEPARATE confirmation dialog with its own Submit button; the original investigation never clicked that second button, so no create-plan API call was ever actually attempted. With both clicks performed, a minimal selection creates a real plan successfully (confirmed via a real plan_id returned by the API). New finding from this reverification: Manage Plan rows have no Edit/Delete action of any kind (same gap as Bug #59 for Manage Dealer) -- any plan created is permanent.",Web,V6.2,Staging,"1. Open Admin Panel > Plan > Create Plan. 2. Fill Plan Name, BillType, Selling Amount. 3. Check exactly ONE Payment Type row and ONE Menu List item. 4. Click Submit, then click Submit again in the confirmation dialog that appears (""Do you want to continue?""). 5. Check Manage Plan for the new row and its action-icon column.","Submit should enable with a minimal valid selection (confirmed working) and creation should succeed (confirmed working). Manage Plan rows should have an Edit/Delete action, consistent with Manage User/Tax.","Submit enables correctly and creation succeeds with a minimal selection (real plan_id returned) -- the original disabled-button claim does not reproduce. However, Manage Plan rows have NO Edit/Delete action at all (only S.No/Plan Name/Payments/Menu/Description columns, the Menu tag opens only a read-only cost view) -- any plan created through this form is permanent.",Minor,Medium,"admin-panel,plan,functional,gap",Bug_Report_Screenshots/bug_61_create_plan2.png,"Reverified 2026-09-07 (live 3x pass): [WITHDRAWN, unaffected by this pass] One confirmation pass performed per scope, not the full 3x (already conclusively root-caused and corrected earlier this session -- see the full withdrawal writeup below): minimal 1-row/1-item selection still enables Submit and opens the real confirmation dialog as documented."
62,[Low] Configuration's Manage Brand/Manage Model/Documentation and the top-level Menu page silently redirect to Dashboard,Bug,Trackofy,Admin Panel - Configuration,"Navigating directly to any of 4 real, clickable nav-linked URLs (Manage Brand, Manage Model, Documentation, Menu) silently redirects to /admin/dashboard with no error or explanation.",Web,V6.2,Staging,"1. Log in to the Admin Panel. 2. Navigate directly to /admin/configuration/manage-brand (or manage-model, documentation, or /admin/menu).","The requested page should load, or a clear 'not available' message should be shown.","The browser silently ends up on /admin/dashboard instead, with no error, redirect notice, or explanation.",Minor,Low,"admin-panel,configuration,navigation,ui",Bug_Report_Screenshots/bug_62_config_redirect.png,Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 across all 4 URLs.
63,"[CRITICAL] Users and Dealers created via the Admin Panel cannot log in, and the standalone Forgot Password flow doesn't recognize them either",Bug,Trackofy,Admin Panel - User / Dealer,"No password is ever set during Create User/Dealer, direct login fails 401, and the main Forgot Password flow doesn't recognize these records by phone or email (while correctly recognizing a real pre-existing end user used as a control) -- the real activation path is a separate broken email flow (Bugs #64/#65).",Web,V6.2,Staging,1. Create a User or Dealer via the Admin Panel. 2. Attempt to log in with the record's mobile number as username. 3. Attempt the main login page's Forgot Password flow with the same mobile/email.,The created account should have a working path to obtain login credentials.,"Direct login returns 401 (no password was ever set); Forgot Password returns 'Please enter valid mobile/email' for both channels, while the identical flow works for a real control account.",Critical,Highest,"admin-panel,user,dealer,authentication,account-provisioning,blocker",Bug_Report_Screenshots/bug_63_64_65_66_dashboard.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED (User side) -- re-confirmed live with a fresh Admin-Panel-created user: login fails 401, Forgot Password doesn't recognize the record, and a control test against a real pre-existing user succeeds normally, isolating the gap to Admin-Panel-created records specifically. Dealer side inconclusive this pass -- both dealer-creation attempts failed before completion (verified via the full Manage Dealer list afterward), so the dealer-side login/forgot-password claim was not independently re-run."
64,[CRITICAL] Account-activation verification code request fails with a raw SQL fragment leaking through a broken JSON response -- Email channel,Bug,Trackofy,Admin Panel - User Activation,"After Create User, the real credentials/activation email's verification-code page fails when 'email' is chosen and the account's real email submitted, returning a client-side JSON-parse error revealing a raw SQL SELECT fragment.",Web,V6.2,Staging,"1. Create a User via the Admin Panel with a real email address. 2. Open the credentials/activation email received. 3. On the verification page, choose 'email' and submit the account's real email address.","A verification code should be sent, or a clean error shown with no internal details.","Error: Unexpected token 'S', 'SELECT ema'... is not valid JSON -- the backend is returning a raw, unexecuted SQL query fragment instead of a JSON response.",Critical,Highest,"admin-panel,user,activation,sql-error,information-disclosure,blocker",Bug_Report_Screenshots/bug_63_64_65_66_dashboard.png,Reverified 2026-09-07 (live 3x pass): COULD NOT INDEPENDENTLY VERIFY this pass -- no IMAP/inbox credentials exist in this environment to receive the real activation email and reach the verification-code page. The original finding (confirmed live by the user with a real inbox) stands undisturbed.
65,[CRITICAL] Account-activation verification code request fails with a raw SQL fragment leaking through a broken JSON response -- Phone channel,Bug,Trackofy,Admin Panel - User Activation,"The same verification-code page from Bug #64, when 'phone' is chosen and a phone number submitted, fails identically with a raw SQL SELECT fragment for the mobile lookup.",Web,V6.2,Staging,"1. From the same activation verification page as Bug #64, choose 'phone' instead. 2. Submit a phone number.","A verification code should be sent, or a clean error shown with no internal details.","Error: Unexpected token 'S', 'SELECT mob'... is not valid JSON -- the same broken-JSON/raw-SQL-fragment pattern as Bug #64, for the phone/mobile lookup query.",Critical,Highest,"admin-panel,user,activation,sql-error,information-disclosure,blocker",Bug_Report_Screenshots/bug_63_64_65_66_dashboard.png,Reverified 2026-09-07 (live 3x pass): COULD NOT INDEPENDENTLY VERIFY this pass -- same reason as Bug 64 (no inbox access).
66,[CRITICAL] Create Dealer sends no credentials/confirmation email at all,Bug,Trackofy,Admin Panel - Dealer Activation,"Creating a dealer via the Admin Panel sends no email whatsoever -- no credentials, no confirmation, no activation link -- a step below Create User's own broken-but-attempted flow.",Web,V6.2,Staging,1. Create a Dealer via the Admin Panel with a real email address. 2. Check the inbox for that email address for any resulting message.,An activation/credentials email (at minimum equivalent to Create User's) should be sent.,"No email of any kind is sent after Create Dealer, confirmed by the user with a real inbox.",Critical,Highest,"admin-panel,dealer,activation,email,blocker",Bug_Report_Screenshots/bug_63_64_65_66_dashboard.png,Reverified 2026-09-07 (live 3x pass): COULD NOT INDEPENDENTLY VERIFY this pass -- same reason as Bug 64 (no inbox access to confirm the absence of an email).
67,[HIGH] No rate limiting or account lockout on the login endpoint,Bug,Trackofy,Login Page,"25 consecutive failed login attempts (against both a nonexistent username and a real account) all behaved identically -- same status, message, and response time, no CAPTCHA, no lockout message, no HTTP 429.",Web,V6.2,Staging,"1. Open the login page. 2. Attempt to log in with an incorrect password 25+ times in quick succession, against a nonexistent username and separately against a real account. 3. Monitor responses, timing, and any CAPTCHA/lockout signal.","The endpoint should apply rate limiting and/or account lockout after a reasonable number of failed attempts (progressive backoff, temporary lockout, and/or CAPTCHA).","All 25 attempts (for both the nonexistent username and the real account) returned identical 401 responses with no growth in response time, no CAPTCHA, no lockout message, and no 429 -- confirmed the real account still logs in normally immediately afterward.",Major,High,"login,security,rate-limiting,brute-force,credential-stuffing",Bug_Report_Screenshots/bug_51_67_login_page.png,"Reverified 2026-09-07 (live 3x pass): REPRODUCED 3/3 -- 3 separate runs of 10 consecutive failed attempts each (30 total) against a nonexistent username: identical 401s, no growth in response time, no CAPTCHA, no 429, no lockout message in any run."
